/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  30.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.78026E+01   -0.72441E-01    0.29672E-02    0.87822E-03
            2.    0.82913E+01    0.46866E+00    0.23856E-02    0.73660E-03
            3.    0.96164E+01   -0.24578E+00    0.23653E-02    0.73170E-03
            4.    0.49782E+01    0.67476E-01    0.18907E-02    0.74131E-03
            5.    0.14658E+01    0.64760E+00    0.73169E-02    0.36378E-02
            6.    0.19371E+01    0.11544E+00    0.83167E-02    0.31197E-02
            7.    0.12267E+01    0.39763E+00    0.66865E-02    0.26926E-02
            8.    0.12750E+01    0.79546E+00    0.68472E-02    0.36302E-02
            9.    0.47675E-01   -0.12431E-01    0.33784E-03    0.19786E-03
           10.    0.12558E+00    0.43157E-01    0.26825E-03    0.67717E-04
           11.    0.41824E-01   -0.32032E-01    0.59958E-04    0.16759E-04
           12.    0.15300E+00    0.23038E+00    0.14859E-02    0.85529E-03
           13.    0.23135E+02    0.24247E+02    0.20981E-02    0.15151E-02
           14.    0.16244E+02    0.16052E+02    0.12948E-02    0.92383E-03
           15.    0.18546E+02    0.18779E+02    0.19209E-02    0.13774E-02
           16.    0.19560E+02    0.19503E+02    0.16402E-02    0.11707E-02
           17.    0.48827E+01    0.74346E+01    0.51387E-02    0.39581E-02
           18.    0.65409E+01    0.89388E+01    0.52494E-02    0.39432E-02
           19.    0.85020E+01    0.12794E+02    0.58062E-02    0.44974E-02
           20.    0.30107E+01    0.28891E+01    0.33940E-02    0.21992E-02
           21.    0.73052E+01    0.75921E+01    0.78782E-03    0.56467E-03
           22.    0.29791E+01    0.22057E+01    0.23439E-03    0.15879E-03
           23.    0.15954E+02    0.15243E+02    0.12218E-02    0.86526E-03
           24.    0.36165E+01    0.30058E+01    0.49284E-03    0.34065E-03
           25.    0.39350E+01    0.13165E+01    0.15190E-01    0.59071E-02
           26.    0.43361E+01    0.68377E-01    0.15629E-01    0.55233E-02
           27.    0.47387E+01    0.13830E+01    0.92693E-02    0.39500E-02
           28.    0.43433E+01   -0.85365E+00    0.12350E-01    0.51008E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.53699E+01    0.25442E+01    0.11947E-01    0.57430E-02
           34.    0.56838E+01    0.31097E+01    0.68264E-02    0.36801E-02
           35.    0.38962E+01    0.24410E+01    0.91803E-02    0.48891E-02
           36.    0.23541E+01    0.52596E+00    0.12608E-01    0.50168E-02
           37.    0.92176E+00    0.81159E+00    0.66459E-02    0.44541E-02
           38.    0.13355E+01    0.12056E+01    0.52128E-02    0.34761E-02
           39.    0.17488E+01    0.16581E+01    0.47426E-02    0.33188E-02
           40.    0.99547E+00    0.10161E+01    0.59578E-02    0.39758E-02
           41.    0.10750E+02   -0.26458E+01    0.30049E-02    0.89291E-03
           42.    0.72774E+01    0.11366E+01    0.29916E-02    0.11621E-02
           43.    0.11941E+02   -0.26161E+01    0.28319E-02    0.88770E-03
           44.    0.14930E+02    0.20641E+01    0.27949E-02    0.10833E-02
           45.    0.27928E+01    0.20079E+01    0.31921E-02    0.21211E-02
           46.    0.17506E+01    0.10566E+01    0.38163E-02    0.24557E-02
           47.    0.23155E+01    0.14252E+01    0.30694E-02    0.19715E-02
           48.    0.14549E+01    0.14332E+01    0.42669E-02    0.26542E-02
           49.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           50.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           51.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           52.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           53.    0.10842E+01    0.56888E+00    0.16692E-01    0.66223E-02
           54.    0.97332E+00   -0.42733E+00    0.74448E-02    0.27252E-02
           55.    0.47857E+00   -0.18607E+00    0.12468E-01    0.40703E-02
           56.    0.50357E+00   -0.33825E-01    0.23192E-01    0.82067E-02
           57.    0.13023E+01   -0.34059E+00    0.63387E-02    0.21112E-02
           58.    0.18230E+01   -0.85037E+00    0.79536E-02    0.26430E-02
           59.    0.18920E+01   -0.29462E+00    0.73903E-02    0.22763E-02
           60.    0.17053E+01    0.29247E+00    0.77658E-02    0.24341E-02
           61.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           62.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           63.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           64.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           65.    0.66058E+01    0.19359E+01    0.21495E-01    0.94863E-02
           66.    0.59701E+01    0.13469E+01    0.15767E-01    0.71805E-02
           67.    0.78115E+01    0.28817E+01    0.18586E-01    0.86394E-02
           68.    0.24550E+01    0.36570E+01    0.23739E-01    0.92802E-02
           69.    0.25654E+01    0.29019E+01    0.53790E-02    0.33031E-02
           70.    0.15658E+01    0.18024E+01    0.77293E-02    0.48862E-02
