/TITLE,THIS IS REULT OF BH056-L-8-50Mat
 120.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
           87.    0.27733E+01   -0.60617E+00    0.64228E-01    0.18876E-01
           88.    0.21223E+01   -0.38661E+00    0.49488E-01    0.16253E-01
           89.    0.26198E+01   -0.83114E-01    0.49460E-02    0.15984E-02
           90.    0.17564E+01    0.16989E-02    0.47879E-02    0.15874E-02
           91.    0.15561E+01   -0.13759E+00    0.51775E-02    0.16600E-02
           92.    0.24052E+01    0.49908E+00    0.51400E-02    0.19929E-02
           93.    0.58032E+01    0.56768E+01    0.12015E-02    0.85563E-03
           94.    0.66691E-01    0.45352E-01    0.96600E-03    0.64778E-03
           95.    0.41439E+00    0.48015E+00    0.52620E-03    0.36946E-03
           96.    0.16109E+01    0.18709E+01    0.55899E-03    0.40172E-03
           97.    0.27531E+01    0.83304E+00    0.17922E-01    0.10074E-01
           98.    0.17502E+01    0.15264E+01    0.24027E-01    0.16340E-01
           99.    0.20136E+01    0.21590E+01    0.23686E-01    0.16717E-01
          100.    0.30216E+01    0.15646E+01    0.19225E-01    0.11807E-01
          101.    0.12873E+01    0.59678E+00    0.10579E-01    0.61940E-02
          102.    0.88113E+00   -0.12066E-01    0.11495E-01    0.57943E-02
          103.    0.10334E+01    0.10838E+00    0.17787E-01    0.88236E-02
          104.    0.12463E+01    0.46535E+00    0.10082E-01    0.59274E-02
          105.    0.67562E+01    0.41701E+01    0.24501E-02    0.12676E-02
          106.    0.11415E+02   -0.61078E+01    0.49813E-02    0.21800E-02
          107.    0.51520E+01    0.28386E+01    0.34029E-02    0.13682E-02
          108.    0.77452E+01    0.23779E+01    0.68785E-02    0.27581E-02
          109.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          110.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          111.    0.37624E+00    0.69135E+00    0.10322E-02    0.88266E-03
          112.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          113.    0.10504E+02    0.93496E+01    0.13156E-02    0.92538E-03
          114.    0.12008E+02    0.11092E+02    0.12001E-02    0.85991E-03
          115.    0.65625E-02    0.41151E-02    0.50463E-03    0.31942E-03
          116.    0.23110E+00    0.16834E+00    0.10629E-02    0.75725E-03
          117.    0.26288E+00    0.34345E+00    0.35702E-02    0.27405E-02
          118.    0.95255E-01    0.12949E+00    0.19087E-02    0.13748E-02
          119.    0.21580E+00    0.35357E+00    0.66269E-02    0.56226E-02
          120.    0.89208E+00    0.10243E+01    0.25760E-02    0.19824E-02
          121.    0.99858E+01    0.10045E+02    0.19827E-02    0.14289E-02
          122.    0.50954E+01    0.30554E+01    0.23778E-02    0.15918E-02
          123.    0.17311E+02    0.19279E+02    0.23310E-02    0.16951E-02
          124.    0.52686E+01    0.63076E+01    0.20909E-02    0.15076E-02
          125.    0.18109E+02   -0.16348E+01    0.18080E-02    0.53047E-03
          126.    0.93165E+01    0.12354E+01    0.13782E-02    0.46986E-03
          127.    0.98185E+01    0.12398E+01    0.14887E-02    0.49557E-03
          128.    0.19461E+02   -0.14902E+01    0.19252E-02    0.53876E-03
          129.    0.18184E+01    0.10183E+01    0.54198E-02    0.19500E-02
          130.    0.36003E+01    0.10504E+01    0.39351E-02    0.13124E-02
          131.    0.39269E+00    0.59547E-01    0.55367E-02    0.20758E-02
          132.    0.10986E+01    0.48627E+00    0.47333E-02    0.18354E-02
          133.    0.22984E+02    0.25782E+02    0.26630E-02    0.19386E-02
          134.    0.15543E+02    0.16528E+02    0.20194E-02    0.14606E-02
          135.    0.20918E+02    0.18715E+02    0.22286E-02    0.15553E-02
          136.    0.60293E+01    0.58811E+01    0.13651E-02    0.98099E-03
          137.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          138.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          139.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          140.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          141.    0.35879E+01    0.32736E+01    0.95893E-02    0.67502E-02
          142.    0.73471E+01    0.68692E+01    0.78872E-02    0.57149E-02
          143.    0.65775E+01    0.38658E+01    0.64649E-02    0.44050E-02
          144.    0.57481E+01    0.43591E+01    0.73359E-02    0.52685E-02
          145.    0.18865E+02    0.18112E+02    0.20981E-02    0.14930E-02
          146.    0.11286E+02    0.11311E+02    0.16941E-02    0.12122E-02
          147.    0.23173E+01    0.21304E+01    0.14712E-02    0.10444E-02
          148.    0.50879E+01    0.45075E+01    0.15304E-02    0.10770E-02
          149.    0.18886E+02   -0.34010E+01    0.20713E-01    0.62530E-02
          150.    0.11515E+02    0.20162E+01    0.25152E-01    0.77950E-02
          151.    0.46945E+00    0.34486E+00    0.33193E-02    0.19669E-02
          152.    0.27124E+00    0.79707E-01    0.26142E-02    0.10038E-02
          153.    0.37190E+00    0.61432E-02    0.20185E-02    0.93804E-03
          154.    0.66169E+00    0.54477E+00    0.70136E-02    0.44334E-02
          155.    0.49779E+00    0.59713E+00    0.27987E-02    0.20797E-02
          156.    0.27679E+00    0.34063E+00    0.15899E-02    0.11927E-02
          157.    0.21269E+00    0.38978E+00    0.14668E-02    0.11587E-02
          158.    0.24725E+00    0.38293E+00    0.11909E-02    0.90875E-03
          159.    0.17343E+01    0.21230E+01    0.31690E-02    0.23170E-02
          160.    0.14279E+01    0.46662E+00    0.32927E-02    0.21580E-02
          161.    0.15716E+01    0.36926E+01    0.21147E-02    0.18082E-02
          162.    0.10599E+01    0.69852E+00    0.35933E-02    0.25044E-02
          163.    0.11934E+02    0.21447E+00    0.10867E-02    0.32077E-03
          164.    0.14445E+02   -0.10607E+01    0.14982E-02    0.43097E-03
          165.    0.90659E+01    0.55932E+00    0.92845E-03    0.28848E-03
          166.    0.64178E+01    0.63085E+00    0.11937E-02    0.36638E-03
          167.    0.16245E+02    0.16438E+02    0.14101E-02    0.10099E-02
          168.    0.17963E+02    0.18715E+02    0.15434E-02    0.11106E-02
          169.    0.19844E+02    0.21582E+02    0.17500E-02    0.12730E-02
          170.    0.96807E+01    0.90403E+01    0.11852E-02    0.84436E-03
          171.    0.31893E+00    0.17981E+00    0.14424E-02    0.90130E-03
          172.    0.17757E+01    0.16669E+01    0.18803E-02    0.13509E-02
          173.    0.29848E+01    0.30939E+01    0.13098E-02    0.96562E-03
          174.    0.34295E+01    0.30935E+01    0.16992E-02    0.12035E-02
          175.    0.50104E+01    0.18077E+01    0.62060E-02    0.33575E-02
          176.    0.15725E+01    0.59621E+00    0.79946E-02    0.29249E-02
          177.    0.27673E+01    0.97215E+00    0.76809E-02    0.35748E-02
          178.    0.74899E+00    0.14653E+00    0.10117E-01    0.40556E-02
          179.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          180.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          181.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          182.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          183.    0.51721E+00    0.52992E-01    0.77377E-03    0.25993E-03
          184.    0.50582E+01    0.22238E+00    0.90944E-03    0.28889E-03
          185.    0.12192E+02    0.70996E+00    0.13049E-02    0.39078E-03
          186.    0.72939E+01    0.43427E+00    0.13491E-02    0.40680E-03
          187.    0.91727E+01    0.87650E+01    0.14519E-01    0.99916E-02
          188.    0.76203E+01    0.50874E+01    0.11594E-01    0.70169E-02
          189.    0.85720E+01    0.53478E+01    0.97239E-02    0.57034E-02
          190.    0.66395E+01    0.48914E+01    0.11091E-01    0.68434E-02
          191.    0.26251E+01    0.11350E+01    0.10668E-02    0.53236E-03
          192.    0.11959E+01    0.35692E+00    0.10027E-02    0.51361E-03
          193.    0.31373E+01    0.13442E+01    0.13517E-02    0.74014E-03
          194.    0.34569E+00    0.29518E+00    0.11590E-02    0.83403E-03
          195.    0.55015E+01    0.41969E+00    0.77422E-02    0.24152E-02
          196.    0.39562E+01    0.98184E+00    0.85698E-02    0.36470E-02
