/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  60.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.45876E+01   -0.42429E+00    0.17971E-02    0.52721E-03
            2.    0.50764E+01    0.21614E+00    0.14666E-02    0.46983E-03
            3.    0.56633E+01   -0.51884E+00    0.14051E-02    0.44110E-03
            4.    0.29868E+01    0.19047E+00    0.10695E-02    0.39484E-03
            5.    0.95603E+00    0.87010E-01    0.48781E-02    0.15409E-02
            6.    0.99316E+00    0.22006E-01    0.44429E-02    0.19915E-02
            7.    0.85206E+00    0.89836E-01    0.48318E-02    0.19715E-02
            8.    0.11279E+01    0.61842E-02    0.56291E-02    0.17823E-02
            9.    0.32558E-01   -0.70572E-02    0.22987E-03    0.13589E-03
           10.    0.84473E-01    0.32245E-01    0.18022E-03    0.48088E-04
           11.    0.29393E-01   -0.13809E-01    0.40403E-04    0.11907E-04
           12.    0.10326E+00    0.15640E+00    0.98541E-03    0.57619E-03
           13.    0.98402E+01    0.10304E+02    0.89347E-03    0.64508E-03
           14.    0.54652E+01    0.54157E+01    0.43550E-03    0.31116E-03
           15.    0.71090E+01    0.71404E+01    0.73773E-03    0.52810E-03
           16.    0.74945E+01    0.74617E+01    0.62997E-03    0.44949E-03
           17.    0.72695E+01   -0.36278E+01    0.77683E-02    0.20852E-02
           18.    0.81074E+01   -0.14163E+01    0.66150E-02    0.19938E-02
           19.    0.10063E+02   -0.40644E+01    0.68522E-02    0.17749E-02
           20.    0.53019E+01    0.52951E+00    0.72599E-02    0.22001E-02
           21.    0.25168E+01    0.26896E+01    0.27373E-03    0.19632E-03
           22.    0.25528E+01   -0.23685E-01    0.20426E-03    0.70732E-04
           23.    0.59133E+01    0.55753E+01    0.45350E-03    0.31994E-03
           24.    0.58120E+00    0.22203E+00    0.96060E-04    0.53132E-04
           25.    0.22169E+01    0.75630E+00    0.85413E-02    0.33491E-02
           26.    0.24450E+01    0.40179E-01    0.88223E-02    0.31455E-02
           27.    0.27182E+01    0.84216E+00    0.53171E-02    0.22914E-02
           28.    0.24796E+01   -0.49563E+00    0.70659E-02    0.29269E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.30022E+01    0.14786E+01    0.67384E-02    0.33712E-02
           34.    0.33905E+01    0.20825E+01    0.40544E-02    0.22972E-02
           35.    0.24057E+01    0.16653E+01    0.56617E-02    0.32243E-02
           36.    0.13487E+01    0.37618E+00    0.71894E-02    0.31212E-02
           37.    0.61049E+00    0.52680E+00    0.44084E-02    0.29672E-02
           38.    0.89686E+00    0.82579E+00    0.35025E-02    0.23750E-02
           39.    0.11711E+01    0.11114E+01    0.31696E-02    0.22334E-02
