/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  15.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.44727E+01   -0.17261E+01    0.18359E-02    0.42506E-03
            2.    0.48785E+01   -0.41707E+00    0.14157E-02    0.46347E-03
            3.    0.54601E+01   -0.20150E+01    0.13721E-02    0.36936E-03
            4.    0.38934E+01    0.26122E+01    0.16003E-02    0.93091E-03
            5.    0.38407E+01    0.18523E+01    0.19601E-01    0.10411E-01
            6.    0.37458E+01    0.29032E+01    0.16217E-01    0.10569E-01
            7.    0.27348E+01    0.14976E+01    0.14705E-01    0.85030E-02
            8.    0.36939E+01    0.10640E+01    0.19219E-01    0.94511E-02
            9.    0.12802E+00   -0.79159E-02    0.93359E-03    0.56845E-03
           10.    0.30888E+00    0.18306E+00    0.65879E-03    0.20019E-03
           11.    0.12779E+00    0.35049E-01    0.15782E-03    0.56160E-04
           12.    0.41182E+00    0.65792E+00    0.38375E-02    0.23741E-02
           13.    0.47071E+01    0.42842E+01    0.42537E-03    0.28980E-03
           14.    0.37889E+01    0.74259E+00    0.30969E-03    0.11076E-03
           15.    0.20889E+01    0.13241E+00    0.21150E-03    0.89632E-04
           16.    0.15020E+01    0.11318E+01    0.12762E-03    0.82590E-04
           17.    0.27397E+02   -0.13774E+02    0.29027E-01    0.88797E-02
           18.    0.32357E+02   -0.86953E+01    0.26168E-01    0.80651E-02
           19.    0.41699E+02   -0.17849E+02    0.28436E-01    0.80824E-02
           20.    0.18696E+02    0.25357E+01    0.23636E-01    0.91374E-02
           21.    0.16538E+01    0.20079E+01    0.22695E-03    0.15913E-03
           22.    0.15017E+02    0.20337E+00    0.11959E-02    0.38443E-03
           23.    0.30375E+01    0.16450E+01    0.23232E-03    0.11599E-03
           24.    0.22355E+01    0.35636E+00    0.21489E-03    0.97705E-04
           25.    0.50903E+01    0.11522E+01    0.19812E-01    0.70283E-02
           26.    0.50417E+01    0.33454E+00    0.18023E-01    0.63825E-02
           27.    0.65925E+01    0.13626E+01    0.13044E-01    0.53083E-02
           28.    0.53540E+01   -0.29721E+00    0.14915E-01    0.64555E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
