/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  90.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.14140E+01   -0.19680E+00    0.57701E-03    0.19829E-03
            2.    0.11945E+01    0.13612E+00    0.33993E-03    0.13776E-03
            3.    0.12312E+01   -0.30641E+00    0.29909E-03    0.10175E-03
            4.    0.13296E+01    0.11595E+01    0.59202E-03    0.38155E-03
            5.    0.27114E+01    0.10288E+01    0.13788E-01    0.67032E-02
            6.    0.25690E+01    0.12613E+01    0.11276E-01    0.60947E-02
            7.    0.22099E+01    0.69292E+00    0.12169E-01    0.55373E-02
            8.    0.28781E+01    0.53034E+00    0.14692E-01    0.62921E-02
            9.    0.88409E-02    0.38844E-03    0.60633E-04    0.37777E-04
           10.    0.21017E-01    0.12720E-01    0.45259E-04    0.16153E-04
           11.    0.99170E-02    0.84079E-02    0.11167E-04    0.45534E-05
           12.    0.26367E-01    0.40672E-01    0.22770E-03    0.14625E-03
           13.    0.62443E+01   -0.63338E-01    0.56464E-03    0.17476E-03
           14.    0.69413E+01    0.20210E+00    0.55384E-03    0.16326E-03
           15.    0.63663E+01    0.87354E-02    0.65664E-03    0.20034E-03
           16.    0.67260E+01    0.10687E+00    0.56135E-03    0.16618E-03
           17.    0.16715E+02   -0.82860E+01    0.17752E-01    0.53369E-02
           18.    0.19704E+02   -0.48502E+01    0.15944E-01    0.48178E-02
           19.    0.25430E+02   -0.10697E+02    0.17341E-01    0.48385E-02
           20.    0.11731E+02    0.14471E+01    0.15226E-01    0.54964E-02
           21.    0.30593E+01    0.95395E-01    0.32249E-03    0.95768E-04
           22.    0.62981E+01    0.16154E+00    0.49889E-03    0.15081E-03
           23.    0.60818E+01    0.29093E+00    0.46463E-03    0.13779E-03
           24.    0.27482E+01    0.16249E+00    0.34241E-03    0.10241E-03
           25.    0.13282E+00    0.10288E+00    0.50660E-03    0.32643E-03
           26.    0.14360E+00    0.12199E+00    0.50942E-03    0.35157E-03
           27.    0.17005E+00    0.18998E+00    0.34673E-03    0.24350E-03
           28.    0.15433E+00    0.11793E+00    0.42161E-03    0.27181E-03
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.68235E+00    0.45075E+00    0.14244E-02    0.97413E-03
           34.    0.10430E+01    0.95927E+00    0.12179E-02    0.85641E-03
           35.    0.80668E+00    0.71288E+00    0.18693E-02    0.13075E-02
           36.    0.38318E+00    0.32299E+00    0.19686E-02    0.13744E-02
           37.    0.14629E+00    0.10527E+00    0.10701E-02    0.71842E-03
           38.    0.24459E+00    0.23862E+00    0.97761E-03    0.69103E-03
           39.    0.33401E+00    0.29531E+00    0.86459E-03    0.60918E-03
           40.    0.18059E+00    0.14308E+00    0.10629E-02    0.71585E-03
           41.    0.20536E+01    0.10916E+01    0.58532E-03    0.34246E-03
           42.    0.12381E+01    0.92868E+00    0.55910E-03    0.34706E-03
           43.    0.16889E+01    0.28382E+00    0.41528E-03    0.21710E-03
           44.    0.16576E+01    0.12358E+01    0.30769E-03    0.18345E-03
           45.    0.38020E+00    0.28453E+00    0.43416E-03    0.27461E-03
           46.    0.24742E+00    0.10503E+00    0.54085E-03    0.31158E-03
           47.    0.35924E+00    0.24272E+00    0.46560E-03    0.29537E-03
           48.    0.24635E+00    0.23471E+00    0.66587E-03    0.44565E-03
           49.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
