/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  10.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.18284E+01   -0.24357E+00    0.70855E-03    0.22366E-03
            2.    0.18749E+01    0.32974E-01    0.54357E-03    0.17785E-03
            3.    0.26922E+01   -0.10325E+00    0.68009E-03    0.21753E-03
            4.    0.11907E+01    0.62945E-01    0.41200E-03    0.18140E-03
            5.    0.82055E+00    0.44090E+00    0.41220E-02    0.22254E-02
            6.    0.93688E+00    0.12632E+00    0.40345E-02    0.14109E-02
            7.    0.65503E+00    0.32343E+00    0.35547E-02    0.17635E-02
            8.    0.76051E+00    0.55779E+00    0.39986E-02    0.23329E-02
            9.    0.14487E-01   -0.21316E-01    0.50475E-04    0.13026E-04
           10.    0.42565E-01    0.35600E-01    0.92243E-04    0.32707E-04
           11.    0.21747E-01   -0.49990E-01    0.26055E-04    0.10051E-04
           12.    0.30306E-01    0.35340E-01    0.37698E-03    0.17643E-03
           13.    0.11281E+02    0.11707E+02    0.10219E-02    0.73612E-03
           14.    0.90522E+01    0.88744E+01    0.72147E-03    0.51377E-03
           15.    0.97589E+01    0.98080E+01    0.10095E-02    0.72239E-03
           16.    0.10237E+02    0.10134E+02    0.85669E-03    0.61064E-03
           17.    0.38979E+01    0.52676E+01    0.41388E-02    0.31699E-02
           18.    0.46333E+01    0.58494E+01    0.37507E-02    0.28183E-02
           19.    0.59030E+01    0.78352E+01    0.40189E-02    0.30495E-02
           20.    0.24132E+01    0.24618E+01    0.28089E-02    0.20314E-02
           21.    0.36168E+01    0.37529E+01    0.38688E-03    0.27789E-03
           22.    0.37179E+01    0.33038E+01    0.29413E-03    0.20513E-03
           23.    0.78503E+01    0.74781E+01    0.60066E-03    0.42507E-03
           24.    0.22683E+01    0.20562E+01    0.29541E-03    0.20878E-03
           25.    0.15833E+01    0.45622E+00    0.61865E-02    0.23391E-02
           26.    0.17038E+01    0.40263E-02    0.60870E-02    0.20452E-02
           27.    0.17782E+01    0.33047E+00    0.35082E-02    0.13882E-02
           28.    0.16028E+01   -0.28134E+00    0.44801E-02    0.17729E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.32148E+01    0.14194E+01    0.69320E-02    0.29990E-02
           34.    0.34587E+01    0.12431E+01    0.41047E-02    0.18643E-02
           35.    0.22752E+01    0.89155E+00    0.52937E-02    0.21834E-02
           36.    0.14160E+01    0.21828E+00    0.75273E-02    0.25895E-02
