/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  45.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.17505E+02   -0.47524E+01    0.69621E-02    0.20018E-02
            2.    0.22110E+02   -0.70535E+00    0.64195E-02    0.20786E-02
            3.    0.24553E+02   -0.52116E+01    0.61487E-02    0.19198E-02
            4.    0.12661E+02    0.27610E+01    0.44269E-02    0.16585E-02
            5.    0.30072E+01    0.16158E+01    0.15494E-01    0.79852E-02
            6.    0.34107E+01    0.32007E+01    0.14803E-01    0.10143E-01
            7.    0.24996E+01    0.21030E+01    0.13447E-01    0.92140E-02
            8.    0.31347E+01    0.14752E+01    0.15575E-01    0.82948E-02
            9.    0.41746E+00   -0.41431E-01    0.30420E-02    0.18395E-02
           10.    0.10230E+01    0.56283E+00    0.21842E-02    0.63823E-03
           11.    0.40448E+00    0.37590E-01    0.51378E-03    0.17466E-03
           12.    0.13471E+01    0.21379E+01    0.12681E-01    0.77451E-02
           13.    0.59414E+02    0.61129E+02    0.53792E-02    0.38674E-02
           14.    0.29564E+02    0.30094E+02    0.23411E-02    0.16821E-02
           15.    0.36970E+02    0.36384E+02    0.38298E-02    0.27279E-02
           16.    0.44005E+02    0.44116E+02    0.36865E-02    0.26336E-02
           17.    0.32482E+02   -0.16939E+02    0.34392E-01    0.10248E-01
           18.    0.37408E+02   -0.10887E+02    0.30339E-01    0.90860E-02
           19.    0.47417E+02   -0.20758E+02    0.32314E-01    0.90515E-02
           20.    0.21830E+02    0.30927E+01    0.27398E-01    0.10730E-01
           21.    0.21294E+02    0.23001E+02    0.24448E-02    0.17491E-02
           22.    0.25280E+02   -0.36692E+00    0.20259E-02    0.68655E-03
           23.    0.35599E+02    0.34776E+02    0.27328E-02    0.19380E-02
           24.    0.67550E+01    0.44378E+01    0.12022E-02    0.72857E-03
           25.    0.20471E+02    0.51606E+01    0.79583E-01    0.28838E-01
