/TITLE,THIS IS REULT OF BH056-L-8-50Mat
   0.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
           87.    0.35554E+00    0.28498E+00    0.81795E-02    0.55968E-02
           88.    0.35534E+00    0.32312E+00    0.78878E-02    0.55581E-02
           89.    0.12432E+01    0.67756E+00    0.24529E-02    0.14010E-02
           90.    0.79136E+00    0.51278E+00    0.21500E-02    0.12107E-02
           91.    0.63390E+00    0.40519E+00    0.21343E-02    0.12525E-02
           92.    0.11117E+01    0.74100E+00    0.23625E-02    0.13863E-02
           93.    0.34416E+01    0.21978E+00    0.70685E-03    0.27221E-03
           94.    0.45773E-01    0.18900E-01    0.67001E-03    0.33445E-03
           95.    0.22108E+00   -0.24003E-01    0.28280E-03    0.14323E-03
           96.    0.68111E+00   -0.15203E+00    0.23342E-03    0.11868E-03
           97.    0.97114E+00    0.45757E+00    0.63782E-02    0.24111E-02
           98.    0.59025E+00   -0.36667E-01    0.85003E-02    0.24832E-02
           99.    0.80043E+00   -0.24117E+00    0.99427E-02    0.29775E-02
          100.    0.11991E+01    0.44287E+00    0.76793E-02    0.31801E-02
          101.    0.51641E+00    0.27987E+00    0.38870E-02    0.22701E-02
          102.    0.43592E+00    0.22557E+00    0.48565E-02    0.29005E-02
          103.    0.35088E+00    0.26107E+00    0.61017E-02    0.38357E-02
          104.    0.48344E+00    0.35242E+00    0.40192E-02    0.25450E-02
          105.    0.11789E+01   -0.14888E+00    0.41482E-03    0.13491E-03
          106.    0.96816E+00    0.35370E+00    0.43021E-03    0.18768E-03
          107.    0.77396E+00    0.17602E+00    0.55129E-03    0.26508E-03
          108.    0.63719E+00    0.39662E+00    0.58553E-03    0.34934E-03
          109.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          110.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          111.    0.32942E+00    0.54565E+00    0.86697E-03    0.70547E-03
          112.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          113.    0.99696E+01    0.14350E+01    0.12492E-02    0.39307E-03
          114.    0.15857E+02    0.13827E+01    0.15986E-02    0.46296E-03
          115.    0.93125E-02    0.53516E-02    0.53023E-03    0.25955E-03
          116.    0.27180E+00    0.92188E-01    0.11565E-02    0.41628E-03
          117.    0.38188E+00   -0.18385E+00    0.54254E-02    0.15802E-02
          118.    0.22656E+00   -0.10331E+00    0.46927E-02    0.15404E-02
          119.    0.37315E+00   -0.22149E+00    0.12194E-01    0.16995E-02
          120.    0.18718E+01   -0.11498E+00    0.55470E-02    0.14684E-02
          121.    0.61377E+01    0.80632E+01    0.12669E-02    0.90027E-03
          122.    0.29919E+01    0.13923E+01    0.19149E-02    0.10409E-02
          123.    0.62964E+01    0.69503E+01    0.90647E-03    0.60707E-03
          124.    0.29259E+01   -0.28261E+00    0.16326E-02    0.85887E-03
          125.    0.23795E+02    0.25228E+02    0.23758E-02    0.17178E-02
          126.    0.12184E+02    0.11917E+02    0.18104E-02    0.12919E-02
          127.    0.11494E+02    0.10965E+02    0.17333E-02    0.12337E-02
          128.    0.24135E+02    0.24727E+02    0.23881E-02    0.17142E-02
          129.    0.10195E+01    0.81980E+00    0.31713E-02    0.20988E-02
          130.    0.20066E+01    0.16656E+01    0.25078E-02    0.17117E-02
          131.    0.29723E+00    0.23528E+00    0.41349E-02    0.26743E-02
          132.    0.71721E+00    0.61512E+00    0.31409E-02    0.22062E-02
          133.    0.48869E+01    0.31945E+01    0.59852E-03    0.32898E-03
          134.    0.50390E+01    0.62839E+01    0.66995E-03    0.49800E-03
          135.    0.59994E+01    0.88932E+01    0.64234E-03    0.49733E-03
          136.    0.32029E+01    0.12459E+01    0.78818E-03    0.48823E-03
          137.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          138.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          139.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          140.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          141.    0.10384E+01    0.23543E+00    0.29637E-02    0.13203E-02
          142.    0.23481E+01    0.34162E+00    0.25459E-02    0.92540E-03
          143.    0.20266E+01    0.13348E+01    0.21679E-02    0.88639E-03
          144.    0.19557E+01    0.62529E+00    0.24796E-02    0.92033E-03
          145.    0.13612E+02    0.82331E+00    0.15058E-02    0.47029E-03
          146.    0.67557E+01    0.83037E-01    0.10203E-02    0.32313E-03
          147.    0.15243E+01    0.19201E+00    0.94817E-03    0.34464E-03
          148.    0.35296E+01    0.56223E+00    0.10522E-02    0.36506E-03
          149.    0.41059E+01    0.48282E+01    0.45531E-02    0.33924E-02
          150.    0.21287E+01    0.18831E+01    0.42374E-02    0.30510E-02
          151.    0.10577E+00    0.49387E-01    0.76378E-03    0.44088E-03
          152.    0.58919E-01    0.48834E-01    0.57153E-03    0.40787E-03
          153.    0.86067E-01    0.72809E-01    0.48217E-03    0.30306E-03
          154.    0.14266E+00    0.66285E-01    0.15838E-02    0.85846E-03
          155.    0.27524E+00    0.36983E+00    0.15706E-02    0.11636E-02
          156.    0.15166E+00    0.26220E+00    0.85633E-03    0.67142E-03
          157.    0.98020E-01    0.98448E-01    0.72346E-03    0.51776E-03
          158.    0.13084E+00    0.16462E+00    0.62303E-03    0.43802E-03
          159.    0.51350E+00    0.41260E-01    0.89286E-03    0.27545E-03
          160.    0.34350E+00    0.13837E+00    0.67400E-03    0.28219E-03
          161.    0.51154E+00   -0.91367E-01    0.66315E-03    0.23814E-03
          162.    0.26643E+00    0.10744E+00    0.80536E-03    0.36494E-03
          163.    0.16280E+01    0.82783E+00    0.14794E-03    0.85212E-04
          164.    0.47778E+01    0.51176E+01    0.49727E-03    0.35637E-03
          165.    0.17180E+01    0.87652E+00    0.16425E-03    0.88168E-04
          166.    0.27094E+01    0.22366E+01    0.50290E-03    0.34931E-03
          167.    0.27980E+01    0.27075E+01    0.24107E-03    0.16526E-03
          168.    0.27755E+01    0.14485E+01    0.23655E-03    0.13786E-03
          169.    0.46763E+01   -0.76393E-01    0.41182E-03    0.15217E-03
          170.    0.17603E+01    0.10592E+01    0.23776E-03    0.13182E-03
          171.    0.56355E+00    0.42546E-01    0.27091E-02    0.90908E-03
          172.    0.22406E+01   -0.12890E-01    0.23957E-02    0.77984E-03
          173.    0.34296E+01   -0.26576E+00    0.14988E-02    0.45553E-03
          174.    0.37827E+01    0.47371E+00    0.18789E-02    0.65974E-03
          175.    0.13482E+01    0.85640E+00    0.16762E-02    0.10010E-02
          176.    0.56779E+00    0.30809E+00    0.31489E-02    0.17964E-02
          177.    0.75283E+00    0.62768E+00    0.22200E-02    0.14923E-02
          178.    0.26819E+00    0.22487E+00    0.38748E-02    0.23783E-02
          179.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          180.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          181.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          182.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          183.    0.41734E+00    0.40709E+00    0.59903E-03    0.42192E-03
          184.    0.51381E+01    0.50244E+01    0.87865E-03    0.63742E-03
          185.    0.11243E+02    0.10765E+02    0.11971E-02    0.85056E-03
          186.    0.56919E+01    0.53562E+01    0.10406E-02    0.74100E-03
          187.    0.38064E+01   -0.15346E+00    0.60540E-02    0.19776E-02
          188.    0.23771E+01    0.70407E-01    0.35940E-02    0.12599E-02
          189.    0.23555E+01    0.56220E+00    0.26116E-02    0.11358E-02
          190.    0.23442E+01    0.95070E-01    0.39888E-02    0.13762E-02
          191.    0.23521E+01    0.17830E+01    0.99667E-03    0.66650E-03
          192.    0.92020E+00    0.70671E+00    0.82198E-03    0.55775E-03
          193.    0.25639E+01    0.20561E+01    0.10669E-02    0.72083E-03
          194.    0.36532E+00    0.31195E+00    0.90912E-03    0.56837E-03
          195.    0.20544E+01    0.19338E+01    0.28850E-02    0.20340E-02
          196.    0.13517E+01    0.11381E+01    0.28570E-02    0.19390E-02
          197.    0.18443E+01    0.17224E+01    0.24459E-02    0.17188E-02
          198.    0.13806E+01    0.11174E+01    0.41709E-02    0.28091E-02
          199.    0.27293E+00    0.31483E-01    0.32773E-02    0.12020E-02
          200.    0.34570E+00    0.37168E-01    0.26623E-02    0.10308E-02
          201.    0.40478E+00   -0.34292E-01    0.29957E-02    0.92582E-03
          202.    0.29784E+00    0.16319E-01    0.22219E-02    0.76838E-03
          203.    0.19921E+01    0.19849E+01    0.18852E-02    0.13436E-02
          204.    0.18430E+01    0.17789E+01    0.19153E-02    0.13546E-02
          205.    0.18738E+01    0.19229E+01    0.20454E-02    0.14717E-02
          206.    0.14104E+01    0.12149E+01    0.16893E-02    0.11345E-02
          207.    0.11209E+02    0.14600E+02    0.23221E-02    0.17537E-02
          208.    0.26453E+01    0.15951E+01    0.16899E-02    0.11141E-02
          209.    0.11447E+02    0.15095E+02    0.27436E-02    0.20662E-02
          210.    0.27205E+01    0.14374E+01    0.19469E-02    0.13569E-02
          211.    0.33938E-02    0.35631E-03    0.49584E-03    0.17143E-03
          212.    0.62210E-02    0.22731E-02    0.28939E-03    0.12300E-03
          213.    0.88395E-01    0.62296E-01    0.43977E-03    0.25215E-03
          214.    0.43540E-01    0.56299E-01    0.51662E-03    0.27396E-03
          215.    0.12144E+02    0.12289E+02    0.12752E-02    0.91336E-03
          216.    0.98458E+01    0.94615E+01    0.10509E-02    0.75034E-03
          217.    0.10195E+02    0.10409E+02    0.11535E-02    0.82728E-03
          218.    0.56344E+01    0.53726E+01    0.83069E-03    0.58735E-03
          219.    0.22258E+01    0.22704E+01    0.51524E-02    0.37653E-02
          220.    0.14612E+01    0.17990E+01    0.55242E-02    0.40774E-02
          221.    0.28309E+01    0.34060E+01    0.42114E-02    0.31255E-02
