/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  20.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
           87.    0.19726E+00    0.14626E+00    0.45260E-02    0.30138E-02
           88.    0.19571E+00    0.17410E+00    0.43929E-02    0.30588E-02
           89.    0.46274E+01    0.48496E+01    0.89717E-02    0.65529E-02
           90.    0.34135E+01    0.30926E+01    0.93958E-02    0.65185E-02
           91.    0.27304E+01    0.28599E+01    0.92786E-02    0.66927E-02
           92.    0.43312E+01    0.33958E+01    0.91998E-02    0.62632E-02
           93.    0.47194E+01    0.73433E+00    0.10018E-02    0.36357E-03
           94.    0.54455E-01    0.27496E-01    0.85167E-03    0.44516E-03
           95.    0.47442E+00    0.40398E-02    0.63560E-03    0.22017E-03
           96.    0.19509E+01    0.24671E+00    0.66260E-03    0.24712E-03
           97.    0.85849E+00    0.35416E+00    0.56723E-02    0.22318E-02
           98.    0.48995E+00   -0.20784E-01    0.71222E-02    0.24372E-02
           99.    0.71053E+00   -0.21065E+00    0.88376E-02    0.30075E-02
          100.    0.10786E+01    0.40076E+00    0.69472E-02    0.30780E-02
          101.    0.19688E+00    0.79288E-01    0.15452E-02    0.67861E-03
          102.    0.16138E+00    0.24799E-01    0.19008E-02    0.84591E-03
          103.    0.13478E+00    0.57578E-01    0.24253E-02    0.11896E-02
          104.    0.17591E+00    0.96084E-01    0.14943E-02    0.69797E-03
          105.    0.49138E+00   -0.53205E-01    0.17273E-03    0.62678E-04
          106.    0.44277E+00    0.18279E+00    0.19898E-03    0.89389E-04
          107.    0.34952E+00    0.84857E-01    0.25649E-03    0.11713E-03
          108.    0.30886E+00    0.19450E+00    0.29972E-03    0.17796E-03
          109.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          110.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          111.    0.94807E+00   -0.74454E+00    0.25629E-02    0.60976E-03
          112.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          113.    0.25132E+01    0.68939E+00    0.31444E-03    0.14486E-03
          114.    0.73071E+01    0.57811E+01    0.71564E-03    0.49688E-03
          115.    0.69012E-02   -0.15186E-02    0.62191E-03    0.23189E-03
          116.    0.93256E-01   -0.85256E-03    0.50874E-03    0.25675E-03
          117.    0.64271E+00    0.52860E+00    0.85172E-02    0.53828E-02
          118.    0.40535E+00    0.38738E+00    0.90052E-02    0.58761E-02
          119.    0.40126E+00    0.35792E+00    0.12471E-01    0.93970E-02
          120.    0.16863E+01    0.16104E+01    0.61883E-02    0.41057E-02
          121.    0.17787E+02   -0.50169E+01    0.33140E-02    0.85982E-03
          122.    0.64308E+01    0.38731E+01    0.22296E-02    0.94419E-03
          123.    0.27367E+02   -0.61082E+01    0.36634E-02    0.10299E-02
          124.    0.72605E+01    0.22014E+01    0.22217E-02    0.88809E-03
          125.    0.10535E+02    0.29935E+01    0.10545E-02    0.42433E-03
          126.    0.61435E+01    0.70447E-01    0.90298E-03    0.30165E-03
